date,hole1,hole2,hole3,hole4,hole5,hole6,hole7,hole8,hole9,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,total,handicap,out,in
2012-05-19,6,6,7,5,5,9,5,7,6,8,3,6,6,5,3,5,5,8,105,27.0,56,49
2012-05-05,5,10,10,7,7,0,7,10,7,8,3,8,6,4,3,4,5,7,118,26.9,63,48
2012-05-02,6,4,8,5,4,7,7,8,7,8,4,6,6,8,4,5,5,6,108,26.8,56,52
2012-04-28,5,5,6,6,5,10,12,8,5,8,4,7,7,9,3,6,4,5,115,26.7,62,53
2012-04-11,5,7,5,0,6,8,6,6,5,7,3,7,6,6,7,7,7,8,113,26.6,48,58
2012-04-07,4,4,5,6,4,7,7,6,6,7,4,9,6,6,5,6,4,5,101,26.5,49,52
2011-10-08,6,6,7,6,8,9,0,8,6,6,3,6,6,7,3,4,5,5,108,26.5,56,45
2011-09-28,9,5,9,0,8,0,8,9,5,8,4,6,9,9,4,4,4,6,121,26.4,53,54
2011-09-21,8,6,6,5,6,5,5,7,5,8,4,5,5,6,3,5,6,5,100,25.9,53,47
2011-09-10,7,6,5,5,5,8,7,6,6,0,4,6,7,6,4,5,6,7,107,25.9,55,45
2011-09-03,5,7,0,6,4,6,7,7,7,0,6,6,7,8,3,4,7,5,109,25.8,49,46
2011-08-20,4,9,8,6,3,5,6,6,5,5,5,6,4,6,5,6,4,5,98,26.1,52,46
2011-07-16,6,5,8,5,6,6,4,6,5,6,4,8,8,6,4,5,4,7,103,26.5,51,52
2011-07-10,5,8,8,5,6,8,9,7,6,7,6,0,0,0,0,0,0,0,75,26.4,62,13
2011-06-01,6,8,7,5,4,0,6,7,6,0,5,6,8,6,4,6,5,5,108,26.3,49,45
